Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps|Pop_Urban|GDP_Capita_City
Anshan|Anshan|North-East Asia|27|China|"41°7'25.0"" N"|"122°59'24.0"" E"|2|Humid continental (hot summer, dry winter) climate|40|EW|14.5|29.2|-3.8|710|-26.9|1516000|3
Antalya|Antalya|Europe|115|Turkey|"36°54'45.0"" N"|"30°41'22.9"" E"|2|Hot summer Mediterranean climate|41|EX|25|35.3|15.2|1057.4|45.6|1070000|2
Antananarivo|Antananarivo|Africa|1276|Madagascar|"18°55'0.1"" S"|"47°31'0.1"" E"|2|Subtropical highland climate|42|EY|24.3|26.6|20.4|1456.3||2398000|1
Anyang|Anyang|North-East Asia|87|China|"36°5'57.8"" N"|"114°19'44.4"" E"|2|Cold semi-arid climate|43|EZ|19.7|31.8|4.4|556.9||1401000|2
Aracaju|Aracaju|South America|2|Brazil|"10°55'0.1"" S"|"37°4'0.1"" W"|2|Tropical monsoon climate|44|FA|28.5|29.8|26.9|1695.3||614577|3
Arequipa|Arequipa|South America|2328|Peru|"16°23'56.0"" S"|"71°32'6.0"" W"|2|Hot desert climate|45|FB|21.8|22.6|21|94.6||920.047|1
Arkhangelsk|Arkhangelsk|Europe|10|Russian Federation|"64°32'0"" N"|"40°32'0"" E"|3|Subarctic (cool summer, wet all year) climate|46|FC|5.5|21.8|-9.2|606|-45.2|350985|2
As_Sulaymaniyah|As Sulaymaniyah|Middle East|789|Iraq|"35°33'42.1"" N"|"45°26'26.9"" E"|2|Hot summer Mediterranean climate|47|FD|24|38.8|7.8|745||1600000|1
Asansol|Asansol|South Asia|96|India|"23°40'59.9"" N"|"86°58'59.9"" E"|2|Tropical savanna climate|48|FE|32.2|39|26|1432||1315000|1
Asgabat|Asgabat|Russia & Central Asia|211|Turkmenistan|"37°57'0.0"" N"|"58°22'59.9"" E"|2|Hot desert climate|49|FF|23.8|38.3|8.6|201|46.7|1031992|1
Ash_Shariqah|Ash Shariqah|Middle East|156|United Arab Emirates|"25°21'43.9"" N"|"55°23'28.0"" E"|2|Hot desert climate|50|FG|34|42.2|24.2|106.9|49.2|800000|4
Ashgabat|Ashgabat|Russia & Central Asia|219|Turkmenistan|"37°57'0.0"" N"|"58°22'59.9"" E"|2|Hot desert climate|51|FH|23.8|38.3|8.6|201|46.7|1031992|2
Asmara|Asmara|Africa|2325|Eritrea|"15°19'59.9"" N"|"38°55'59.9"" E"|2|Hot semi-arid climate|52|FI|23.1|25.1|21.5|518.6||649000|1
Astana|Astana|Russia & Central Asia|347|Kazakhstan|"51°10'0"" N"|"71°26'0"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|53|FJ|8.9|26.8|-9.9|320|-51.6|835153|3
Astrakhan|Astrakhan|Russia & Central Asia|28|Russian Federation|"46°20'57.8"" N"|"48°2'57.1"" E"|2|Hot semi-arid climate|54|FK|15.9|32|-0.1|234|-33.6|530900|3
Asuncion|Asuncion|South America|55|Paraguay|"25°16'0.1"" S"|"57°40'0.1"" W"|2|Humid subtropical / tropical savanna climate|55|FL|28.4|33.5|23.1|1401.2||2329061|1
Aswan|Aswan|Africa|194|Egypt|"24°05'20"" N"|"32°53'59"" E"|2|Hot desert climate|56|FM|33.6|41.4|22.9|1.4|49.5|290327|1
Athens|Athens|Europe|147|Greece|"37°58'59.9"" N"|"23°43'59.9"" E"|2|Hot summer Mediterranean climate|57|FN|22.7|33.7|13.3|414.1||3484000|4
Auckland|Auckland|Australia & New Zealand|44|New Zealand|"36°50'26"" S"|"174°44'24"" E"|2|Oceanic / humid subtropical climate|58|FO|19|23.7|14.7|1212.5||1356000|5
Austin|Austin|North America|163|United States of America|"30°16'0.8"" N"|"97°44'34.1"" W"|2|Hot desert climate|59|FP|26.5|36.1|16.4|871.9|44.4|1616000|5
Bacolod_City|Bacolod City|South-East Asia|9|Philippines|"10°39'58.0"" N"|"122°57'0.0"" E"|2|Tropical monsoon climate|60|FQ|31.7|34|31|1967||511820|0
Baghdad|Baghdad|Middle East|41|Iraq|"33°20'19.0"" N"|"44°23'38.0"" E"|2|Hot desert climate|61|FR|30.6|44|15.5|122.8|50|6625000|1
Dublin|Dublin|Europe|9|Ireland|||1|Oceanic climate|62|FS|13.8|20.2|8.8|714.4||1804156|5
Baku|Baku|Russia & Central Asia|-28|Azerbaijan|"40°23'43.1"" N"|"49°52'55.9"" E"|2|Cold semi-arid climate|63|FT|18.1|30.6|6.3|210||2661000|2
Balikpapan|Balikpapan|South-East Asia|1|Indonesia|"1°16'60.0"" S"|"116°49'58.8"" E"|2|Tropical monsoon climate|64|FU|29.3|30|29|2710||701066|1
Baltimore|Baltimore|North America|2|United States of America|"39°17'25.1"" N"|"76°36'45.0"" W"|2|Humid subtropical / humid continental (hot summer, wet all year) climate|65|FV|19.1|31.7|5.8|1038.62||2263000|5
Bamako|Bamako|Africa|350|Mali|"12°39'0.0"" N"|"8°0'0.0"" W"|2|Hot semi-arid climate|66|FW|35|39.6|31.1|991.3||2500000|1
Bangalore|Bangalore|South Asia|917|India|"12°58'59.9"" N"|"77°34'59.9"" E"|2|Tropical savanna climate|67|FX|29.5|35.8|26.2|974.5||8728906|1
Bangkok|Bangkok|South-East Asia|2|Thailand|"13°45'0.0"" N"|"100°31'1.2"" E"|1|Tropical savanna climate|68|FY|33.3|35.4|31.7|1648.2||14998000|3
Bangui|Bangui|Africa|379|Central African Republic|"4°22'0.0"" N"|"18°34'59.9"" E"|2|Tropical savanna climate|69|FZ|31.6|34|29.7|1545||734000|1
Banjarmasin|Banjarmasin|South-East Asia|1|Indonesia|"3°19'60.0"" S"|"114°34'58.8"" E"|2|Tropical monsoon climate|70|GA|30.4|31|29|2490||1904427|1
Baoding|Baoding|North-East Asia|13|China|"38°51'4.0"" N"|"115°29'24.0"" E"|2|Cold semi-arid climate|71|GB|18.7|31.7|2.5|512.5||1297000|1
Baoji|Baoji|North-East Asia|570|China|"34°21'13.0"" N"|"107°22'30.0"" E"|2|Humid continental (hot summer, wet all year) climate|72|GC|18.5|30.9|5.1|656.3||3716731|1
Barcelona|Barcelona|Europe|900|Spain|"41°22'59.9"" N"|"2°10'60.0"" E"|1|Hot summer Mediterranean climate|73|GD|20.4|28.5|13.6|579||4693000|4
Barnaul|Barnaul|Russia & Central Asia|161|Russian Federation|"53°21'20.9"" N"|"83°45'7.9"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|74|GE|8.5|26.3|-10.8|442|-48.2|612401|2
Barrow,_Alaska|Barrow, Alaska|North America|10|United States of America|"71°17'44"" N"|"156°45'59"" W"|2|Tundra climate|75|GF|-8.2|8|-22|113.3|-49|4212|
Basrah|Basrah|Middle East|32|Iraq|"30°29'44.2"" N"|"47°49'3.0"" E"|2|Hot desert climate|76|GG|31.2|41.8|17.7|152||2750000|0
Beijing|Beijing|North-East Asia|59|China|"39°55'44.0"" N"|"116°23'16.8"" E"|1|Humid continental (hot summer, dry winter) / humid subtropical (dry winter, wet summer) climate|77|GH|17.9|30.9|1.8|571.8|-27.4|21009000|3
Beirut|Beirut|Middle East|54|Lebanon|"33°52'18.8"" N"|"35°30'34.9"" E"|2|Hot summer Mediterranean climate|78|GI|24.3|30.7|17.4|825.5||2200000|2
Belem|Belem|South America|1|Brazil|"1°26'60.0"" S"|"48°28'59.9"" W"|2|Tropical rainforest climate|79|GJ|31.5|32.3|30.4|2921.8||1979000|3
Belfast|Belfast|Europe|9|United Kingdom of Great Britain and Northern Ireland|"54°34'59.9"" N"|"5°55'60.0"" W"|2|Oceanic climate|80|GK|13.1|19.4|7.6|930||641638|5
Belgaum|Belgaum|South Asia|768|India|"15°52'0.1"" N"|"74°30'0.0"" E"|2|Tropical savanna climate|81|GL|29.6|36|25.4|947||610189|1
Belgrade|Belgrade|Europe|90|Serbia|"44°49'7.0"" N"|"20°28'5.2"" E"|2|Humid subtropical / humid continental (mild summer, wet all year) climate|82|GM|17.4|28.7|4.6|690.8|43.6|1180000|1
Bellingshausen_Station|Bellingshausen Station|Antarctica|16|Antarctica|"62°12'00"" S"|"58°58'00"" W"|3|Tundra climate|83|GN|-0.3|3.3|-3.8|702.2|||
Belo_Horizonte|Belo Horizonte|South America|860|Brazil|"19°55'0.1"" S"|"43°55'59.9"" W"|2|Tropical savanna climate|84|GO|27.1|28.8|24.6|1491.3||4517000|3
Bengbu|Bengbu|North-East Asia|31|China|"32°56'26.9"" N"|"117°21'39.6"" E"|2|Humid subtropical (dry winter, wet summer) climate|85|GP|20.3|32.1|6.5|919.8||972000|1
Benghazi|Benghazi|Africa|2|Libya|"32°7'0.1"" N"|"20°4'0.1"" E"|2|Hot semi-arid climate|86|GQ|25.4|32.3|16.7|270||1110000|2
Benxi|Benxi|North-East Asia|147|China|"41°17'19.0"" N"|"123°45'54.0"" E"|2|Humid continental (hot summer, dry winter) climate|87|GR|13.6|28.6|-5|775.9||1011377|2
Berlin|Berlin|Europe|34|Germany|"52°31'0.1"" N"|"13°24'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|88|GS|13.4|23.7|2.9|570.7|-26|4069000|4
Bermuda|Bermuda|North America|15|British Overseas Territory|"32°18'0"" N"|"64°47'0"" W"|3|Tropical monsoon climate|89|GT|24.4|29.8|19.9|1410.5||64237|6
Bhavnagar|Bhavnagar|South Asia|24|India|"21°46'0.1"" N"|"72°9'0.0"" E"|2|Hot semi-arid climate|90|GU|33.1|39.4|27.7|593|54|606282|0
Bhiwandi|Bhiwandi|South Asia|23|India|"19°18'0.0"" N"|"73°4'0.1"" E"|2|Tropical monsoon climate|91|GV|31.3|34.4|28.6|2578||711329|1
Bhopal|Bhopal|South Asia|499|India|"23°16'0.1"" N"|"77°24'0.0"" E"|2|Humid subtropical climate|92|GW|31.7|40.7|25.3|1123.1|46|2075000|1
Bhubaneswar|Bhubaneswar|South Asia|28|India|"20°13'59.9"" N"|"85°49'59.9"" E"|2|Tropical savanna climate|93|GX|32.6|37.2|28.4|1492|46.5|881988|0
Bikaner|Bikaner|South Asia|243|India|"28°1'0.1"" N"|"73°17'60.0"" E"|2|Tropical monsoon climate|94|GY|33.8|41.7|23|310.1|47.5|644406|1
Birmingham|Birmingham|Europe|140|United Kingdom of Great Britain and Northern Ireland|"52°28'0.1"" N"|"1°55'0.0"" W"|2|Oceanic climate|95|GZ|13.4|21.3|6.7|805|-20.8|2512000|5
Bishkek|Bishkek|Russia & Central Asia|712|Kyrgyzstan|"42°52'23.2"" N"|"74°36'1.1"" E"|2|Continental Mediterranean climate|96|HA|17.7|31.7|3.2|453|-34|937400|3
Blantyre|Blantyre|Africa|574|Malawi|"15°46'59.9"" S"|"35°0'0.0"" E"|2|Humid subtropical (dry winter, wet summer) climate|97|HB|27.7|31.3|23.9|896.6||1895973|0
Bloemfontein|Bloemfontein|Africa|1400|South Africa|"29°7'59.9"" S"|"26°11'60.0"" E"|2|Hot desert climate|98|HC|24.4|30.8|16.8|559||256185|1
Bogor|Bogor|South-East Asia|200|Indonesia|"6°35'23.0"" S"|"106°47'27.6"" E"|2|Tropical monsoon climate|99|HD|26|27.2|25|1637.28||1022002|1
Bombay|Bombay|South Asia|35|India|"18°58'30.0"" N"|"72°49'32.9"" E"|2|Tropical savanna climate|100|HE|31.8|33.5|29.6|2258||18414288|1
Boston|Boston|North America|10|United States of America|"42°19'59.9"" N"|"71°2'60.0"" W"|1|Humid continental (hot summer, wet all year) climate|101|HF|14.8|27.4|2.1|1112|-28|4478000|5
Bouake|Bouake|Africa|313|Côte d'Ivoire|"7°40'60.0"" N"|"5°1'59.0"" W"|2|Tropical savanna climate|102|HG|30.9|33.8|27.7|1099.9||680694|1
Brampton|Brampton|North America|213|Canada|"43°40'59.9"" N"|"79°46'0.1"" W"|2|Humid continental (mild summer, wet all year) climate|103|HH|13|27.1|-1.5|786|50.3|523911|4
Brazzaville|Brazzaville|Africa|156|Congo|"4°15'33.0"" S"|"15°17'4.9"" E"|2|Tropical monsoon climate|104|HI|31|33|28|1358||1850000|1
Bremen|Bremen|Europe|3|Germany|"53°4'59.9"" N"|"8°48'0.0"" E"|2|Oceanic climate|105|HJ|13.2|22.6|3.9|671.3|-23.6|2400000|5
Bridgetown|Bridgetown|North America|1|Barbados|"13°06'21"" N"|"59°36'47"" W"|2|Tropical monsoon climate|106|HK|30|30.6|28.8|1270.3||110000|3
Brisbane|Brisbane|Australia & New Zealand|24|Australia|"27°30'0.0"" S"|"153°1'1.2"" E"|2|Humid subtropical / humid subtropical (dry winter, wet summer) climate|107|HL|26.5|30.2|21.9|988||1999000|5
Bristol|Bristol|Europe|47|United Kingdom of Great Britain and Northern Ireland|"51°27'0.0"" N"|"2°34'60.0"" W"|2|Oceanic climate|108|HM|14.1|22|7.4|678||1006600|5
Broome,_Western_Australia|Broome, Western Australia|Australia & New Zealand|19|Australia|"17°57'43"" S"|"122°14'10"" E"|2|Tropical savanna climate|109|HN|32.2|34.3|28.8|615.1|44.8|12766|5
Brussels|Brussels|Europe|62|Belgium|"50°49'59.9"" N"|"4°19'60.0"" E"|1|Oceanic climate|110|HO|14.2|23|5.7|852.8|-21.1|2089000|5
Bucaramanga|Bucaramanga|South America|959|Colombia|"7°7'47.0"" N"|"73°7'32.9"" W"|2|Tropical monsoon climate|111|HP|27.6|28.2|26.9|1214.9||1029000|2
Bucuresti|Bucuresti|Europe|77|Romania|"44°25'59.9"" N"|"26°6'0.0"" E"|2|Humid continental (hot summer, wet all year) climate|112|HQ|16.5|28.8|1.5|595|-23.9|1860000|3
Budapest|Budapest|Europe|103|Hungary|"47°30'0.0"" N"|"19°4'59.9"" E"|2|Humid continental (mild summer, wet all year) climate|113|HR|15.3|26.7|2.9|532|-25.6|1710000|3
Buenos_Aires|Buenos Aires|South America|14|Argentina|"34°35'15.0"" S"|"58°40'21.0"" W"|1|Humid subtropical climate|114|HS|23|30.4|16|1306.3|43.3|14122000|4
Bulawayo|Bulawayo|Africa|1358|Zimbabwe|"20°8'60.0"" S"|"28°34'59.9"" E"|2|Humid subtropical (dry winter, wet summer) climate|115|HT|25.6|29|21|594||655675|0
Bursa|Bursa|Middle East|155|Turkey|"40°11'30.1"" N"|"29°3'40.0"" E"|2|Humid subtropical climate|116|HU|20.2|30.8|9.6|702.5|43.8|1839000|3
Busan|Busan|North-East Asia|6|South Korea|"35°6'10.1"" N"|"129°2'24.0"" E"|2|Humid subtropical (dry winter, wet summer) / humid continental (hot summer, dry winter) climate|117|HV|19|29.4|7.8|1519.1||3906000|4
Cagayan_De_Oro|Cagayan De Oro|South-East Asia|8|Philippines|"8°28'56.0"" N"|"124°38'49.2"" E"|2|Tropical monsoon climate|118|HW|31.1|32|30|1350.6||1121564|1
Cairo|Cairo|Africa|23|Egypt|"30°3'0.0"" N"|"31°15'0.0"" E"|2|Hot desert climate|119|HX|27.7|34.7|18.9|24.7|47.8|20439541|1
Calabar|Calabar|Africa|99|Nigeria|"4°57'0.0"" N"|"8°19'0.0"" E"|2|Tropical monsoon climate|120|HY|27.3|29|25|2952||318099|1
Calcutta|Calcutta|South Asia|13|India|"22°34'10.9"" N"|"88°22'10.9"" E"|2|Tropical savanna climate|121|HZ|31.7|35.4|26.4|1800|43.9|14667000|1
Calgary|Calgary|North America|1048|Canada|"51°4'59.9"" N"|"114°4'58.8"" W"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|122|IA|10.8|23.2|-0.9|418.8|-45|1406700|5
Cali|Cali|South America|745|Colombia|"3°26'14.0"" N"|"76°31'21.0"" W"|2|Tropical monsoon climate|123|IB|31.7|33|30.9|908.5||2357000|1
Calicut|Calicut|South Asia|1|India|"11°15'0.0"" N"|"75°46'0.1"" E"|2|Tropical monsoon climate|124|IC|30.4|32.8|27.9|3130.2||2030519|1
Campinas|Campinas|South America|662|Brazil|"22°53'60.0"" S"|"47°4'59.9"" W"|2|Humid subtropical (dry winter, wet summer) climate|125|ID|27.1|29.1|24|1424.5||2645000|2
Campo_Grande|Campo Grande|South America|586|Brazil|"20°26'60.0"" S"|"54°37'0.1"" W"|2|Tropical savanna climate|126|IE|28.8|30.6|26.1|1469||1069420|2
Cancun|Cancun|North America|5|Mexico|"21°10'0.1"" N"|"86°49'59.9"" W"|2|Tropical savanna climate|127|IF|31.7|34.8|28.3|1300.2||722800|3
Cangzhou|Cangzhou|North-East Asia|12|China|"38°19'0.1"" N"|"116°52'1.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|128|IG|18.6|31.4|2.5|605||1205814|2
Cape_Town|Cape Town|Africa|7|South Africa|"33°55'0.1"" S"|"18°25'0.1"" E"|2|Warm summer Mediterranean climate|129|IH|22|26.5|17.5|515||3812000|3
Casablanca|Casablanca|Africa|42|Morocco|"33°35'35.2"" N"|"7°36'59.0"" W"|2|Warm summer Mediterranean climate|130|II|21.8|26.3|17.1|426.6||3211000|1
Cebu_City|Cebu City|South-East Asia|3|Philippines|"10°18'40.0"" N"|"123°53'31.2"" E"|2|Tropical monsoon climate|131|IJ|31.4|33|29.8|1340||2535000|1
Chaiyaphum|Chaiyaphum|South-East Asia|208|Thailand|"15°48'0.0"" N"|"102°1'58.8"" E"|2|Tropical savanna climate|132|IK|32.9|36.4|29.9|1137.2||42436|1
Chandigarh|Chandigarh|South Asia|339|India|"30°44'13.9"" N"|"76°47'13.9"" E"|2|Humid subtropical (dry winter, wet summer) / continental Mediterranean climate|133|IL|30.4|38.6|20.4|1058.6|45.3|1124000|1
Changchun|Changchun|North-East Asia|200|China|"43°52'48.0"" N"|"125°19'22.8"" E"|2|Humid continental (hot summer, dry winter) / subarctic (cool summer, wet all year) climate|134|IM|11.1|27.6|-9.8|570.4|-33|3368000|1
Changde|Changde|North-East Asia|35|China|"29°1'55.9"" N"|"111°40'40.8"" E"|2|Humid subtropical climate|135|IN|21|32.9|8.3|1323.5||1232182|1
Changsha|Changsha|North-East Asia|46|China|"28°10'45.1"" N"|"113°6'50.4"" E"|2|Humid subtropical climate|136|IO|21.4|33.7|8.7|1331.3||3657000|3
Changzhou|Changzhou|North-East Asia|7|China|"31°46'59.9"" N"|"119°58'1.2"" E"|2|Humid continental (hot summer, dry winter) climate|137|IP|20|31.8|7.1|1091.4||3425000|1
Charlotte|Charlotte|North America|229|United States of America|"35°13'36.8"" N"|"80°50'35.9"" W"|2|Humid subtropical climate|138|IQ|21.6|31.7|10.4|1057.6|-21|1535000|5
Cheboksary|Cheboksary|Russia & Central Asia|74|Russian Federation|"56°7'55.9"" N"|"47°15'6.8"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|139|IR|7.6|24.2|-9.4|538||468725|1
Chelyabinsk|Chelyabinsk|Russia & Central Asia|237|Russian Federation|"55°9'15.8"" N"|"61°25'46.9"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|140|IS|8.8|25.2|-10.5|430||1150000|2
Chengde|Chengde|North-East Asia|272|China|"40°46'13.1"" N"|"118°10'12.0"" E"|2|Humid continental (hot summer, dry winter) climate|141|IT|15.8|30.1|-2.2|512||457000|1
Chengdu|Chengdu|North-East Asia|530|China|"30°40'0.1"" N"|"104°4'1.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|142|IU|20.3|29.7|9.3|870.2||10376000|1
Chiang_Mai|Chiang Mai|South-East Asia|288|Thailand|"18°47'25.1"" N"|"98°58'54.1"" E"|2|Tropical savanna climate|143|IV|32.2|36.5|28.6|1130.6||148477|1
Chiang_Rai|Chiang Rai|South-East Asia|429|Thailand|"19°52'59.9"" N"|"99°45'0.0"" E"|2|Tropical savanna climate|144|IW|31.1|34.8|27.2|1690.5||69888|2
Chiba,_Chiba|Chiba, Chiba|North-East Asia|2|Japan|"35°36'0.0"" N"|"140°7'1.2"" E"|2|Humid subtropical climate|145|IX|18.9|29.9|9.1|1249.8||962624|5
Chicago|Chicago|North America|181|United States of America|"41°51'0.0"" N"|"87°39'0.0"" W"|1|Humid continental (hot summer, wet all year) climate|146|IY|15.2|29|-0.3|993||9156000|5
Chiclayo|Chiclayo|South America|1|Peru|"6°46'25.0"" S"|"79°50'30.1"" W"|2|Hot desert climate|147|IZ|26.5|30.5|23.4|26.9||524.442|1
